Comment,Annotation,Label
"I have seen multiple posts regarding paid bags in Pakistan. Mere Bhai, I have visited Europe, majoity brands either fashion store or Cash and carry charge for the bags and they charge for their own #branded bags and nobody ever complained there. They are happy to pay 10-20 cents for the branded bag. We are happy to buy the ""branded wallet and bags"" in thousands but unable to pay for a shopping bag of few cents.",Positive,0
Khaadi needs to focus on their fabric quality instead of doing nonsense harkaten!,Positive,0
"You were paying for it before as well, packaging cost is always added as a overhead while costing.",Neutral,2
Maybe they excluded that and made it optional for people to buy or not buy the bags?,Negative,1
Seriously who is letting this same issue being dragged for no good reason. If you have issue take bags from home and understand it’s their commodity they are selling their commodity they can put anything on it. They are giving you option to buy or not to buy.,Neutral,2
This group needs to change their names to whines of customer.,Positive,0
Dear admin pls put up a pinned post saying,Positive,0
Don't like how the business operates don't buy from them period,Neutral,2
"Paying for these bags dosen't make sense. Khaddi should keep bio degradable bags, that is worth paying for and also serves the purpose to keep environment clean.",Neutral,2
Agreed. That is why i dont take publicity bags. Why should i market their brand for free.,Negative,1
"Indeed, I am in 101% agreement. They have to give it for free, even subsidies you for doing marketing for them",Neutral,2
"Take ur own cloth bag,reusable. Ppl all over the world do it. It's green and Davis nature. Start recy owing in pak,we need it so much. N y pay huge amounts to these brands for THELAS",Positive,0
I don't mind paying for a bag. But I don't like the idea of paying for marketing their brand.,Neutral,2
Sigh…not a day goes by we don’t get a post like this on this forum,Neutral,2
"True that ! That's why I stopped them immediately when they want to add shopping bag in the bill. When I as a customer paying for it I have every right to use it several times without being brand ambassador that too ""UNPAID ONE"" for later usage of the bag.",Neutral,2
It's just a sustainable movement where people are motivated to use reusable bag instead of buying a new bag everytime. In Scandinavia we're paying for bags for basic groceries too.,Neutral,2
Ok charge for bag but remove your logo and name from the bag Khaadi,Negative,1
"Agreed, refuse to take it, use your own shopper bag😄 tell them we don't want to pay for ur bag, if they insist then ask them to give it free, raise voice for ur rights, sirf idhar post daal kr koi faida nahi, ta phir khamoshi se pay karein",Positive,0
Oh my god all these people…. Bhaie sahab take ur own bag.,Positive,0
Or maybe read about why brands and companies are doing it. Climate change suna hai? GET ON WITH THE PROGRAM!,Positive,0
I agree to it.. why should pay for their bags and advertise their brand.. why should we pay for the bag with their brand name.. if they want to make money out of paper bags then these bags should not have their logo .. otherwise we should boycott buying these bags and we should bring own bag at such outlets.. it's not about paying 50 or 100 RS but agar hum isse tarah in chotay chotay isse ko nazar andaaz kartay rahienge to yeh brands isse tarah hamien loottay rahienge ..,Neutral,2
I don’t see the logic of such paper waste concept at all. Because if someone buying lot of stuff they will of-course pay for the bags too. Status conscious Ab bag bhi buy karke showoff karenge 😂,Positive,0
Bring change by zero paper bag policy. Period.,Neutral,2
Whats wrong in taking your own bag with you ...,Neutral,2
"I really like this approach of charged paper bags, so, people will consider taking their own",Neutral,2
"There is a cost of every expenditure, they cld have increased prices by 100 and u wldnt even notice… this way uve got a choice to save rs 100 !",Positive,0
Don't buy their bag next time.,Negative,1
Carry ur own bag in ur handbag.,Negative,1
Even this keep non branded bags or shopping bags those don't come free' u will have to pay for it too,Positive,0
Lol .. I do not understand this weird concept at all .. you roam around the world and buy whatever you wanna buy and none of the brand will charge you any additional cost for the shopping bag,Neutral,2
"there is a reason why India stands where it is today, however in Pakistan like most people here defending Khaadi's act, feel proud to support the corrupt & corrupt practices.",Negative,1
Charging consumers for carry-bags is illegal,Neutral,2
Charging consumers for carry-bags is illegal,Neutral,2
Please start carrying your own cloth bags,Neutral,2
Stop buying these bags from them,Neutral,2
They are a business and can sell anything on their shop.,Positive,0
Carry your own bag or carry another brand's bag. Also ask them to keep plain bags. We shouldn't be paying for their advertisements. They are getting business from us and also charging us for their advertisements. Amazing!,Positive,0
"I think that's totally fine ..in Germany & other countries they also charge for the bags (not all brands) , even in supermarkets they charge 20 or 50 cents.",Neutral,2
why are they giving their suits in plactic bags? They should stop that too or start charging those as well. Then we will take out the item from their printed plastic bag and put it in our own bag.,Neutral,2
"I wouldn’t think too much abt this, now that I am seeing another post on a similar issue.They are charging for the cost of the bag and I don’t always put Khaadi stuff when reusing it. It’s very subjective and petty.",Positive,0
Yeah so accurate why we pay them the cost for the bag? That is something which is totally wrong khaddi is just trying to pull out money from the Pocket of customers in any form.,Neutral,2
Agreed.printed bags are good to reuse but with khaadi logo it can't be...,Neutral,2
U can take your own bag.. simple.. obv they will promote their own brand... no brainer,Neutral,2
not only khaadi but every other brand doing this. i went to NDure n they are also charging for their logo bag,Neutral,2
Same post again and again 🤷🏻‍♀️🤦🏽‍♀️..,Neutral,2
Don't want to advertise their brand by carrying their logo? Bring your own. Because it is what it is! Kia karain ab?,Positive,0
Bhai poori dunya is trying to go into reduce reuse recycle for this earth to be able to house the crazy amount of humans crawling it - in a healthy way.,Positive,0
Brands are joining in on the trend of charging for the bags to discourage the use of bags needlessly all the time and thats the least they can do now as brands cz factoriyan tou nai band kar sakte as people like us LIKE to shop from them. DEMAND,Positive,0
"Its very basic - charging for bags to reduce use and encourage reuse - why should they make bags on their pocket and not even print a logo of their own on it, while the clothes that would be carried in that bag are from that shop. Muft ke nai bantay bag chahay paper ke hon , kapray ke ya biodegradable plastic ke.",Positive,0
"Pakistan main koi achai ki taraf barhta hai tou uska saath den ., mat khareeden bag apna lijayen - na koi lega na wo banayen ge - sab ka faida!",Positive,0
I paid 200 for a printed fabric bag in the package mall branch.,Neutral,2
Its irrelevant to charge .. i wonder why they have started so .. everything is already been added under the cost of each commodity,Neutral,2
Hi! Please visit the below link for the price of the article. https://bit.ly/4c5ztus,Neutral,2
Hi! Please visit the below link for the price of the article. https://bit.ly/4c5ztus,Neutral,2
Hi! Please visit the below link for the price of the article. https://bit.ly/4c5ztus,Neutral,2
Hi! Please visit the below link for the price and other detail of these articles; https://bit.ly/4c5ztus,Neutral,2
Why you people charged for shopping bags?,Question,4
"Hello! Your purchase plays a vital role in supporting our commitment to sustainability and building a brighter future for all. The slight additional cost associated with the bag is an investment in long-term environmental benefits. We appreciate your suggestion, and we will certainly explore this further. Thank you for your valuable feedback!",Positive,0
You should not charge for the bag!,Positive,0
"Hello! Your purchase plays a vital role in supporting our commitment to sustainability and building a brighter future for all. The slight additional cost associated with the bag is an investment in long-term environmental benefits. We appreciate your suggestion, and we will certainly explore this further. Thank you for your valuable feedback!",Positive,0
Today we purchased a 7000 worth suite from sapphire and along with taxes they charged RS 30 extra for a paper bag although 30 rupees is just a penny but a customer who’s spending 7000  doesn’t deserve a paper bag? Even Layers gives 250 worth brownie in a paper bag Sapphire,Neutral,2
Awesome designs 👌 👍 👏,Positive,0
Sadly not much impressed this time!,Positive,0
"I can find only white, pink, blue and black colour. Nothing refreshing and colourful.",Negative,1
Feels like blue mustard and denim will be the colours of this summers,Positive,0
Awesome color amazing design 😍,Positive,0
Good designs….keep it up sapphire 👍 my favorite brand 😊,Positive,0
This collection is avaible in store.?,Neutral,2
Lakecity outlet me b available ho ge aj.,Neutral,2
All Designs are outstanding 👌 😍,Positive,0
How much your dilvery charge?,Question,4
Your stuff is very bad now a dayz,Neutral,2
Very poor customer service. Behaving like cheap local Brand shop,Neutral,2
Very bed experience in luky one shop atleast shoper to free kardo bhai,Positive,0
"Sapphire Your Winter collection was top notch but the stock was very limited, couldn't get anything of my likeness.",Positive,0
All Designs are outstanding 😍😍 😍,Positive,0
Awesome collection and reasonable price,Neutral,2
Kindly subscribe youtube channel. Lizart yt.,Neutral,2
Sapphire u nailed it ❤️,Neutral,2
Wow it’s really worth appreciating,Positive,0
Of any brand or jus urs?,Neutral,2
5 pcs or 5 full dresses.?,Neutral,2
Can we do it in qisstpay too,Positive,0
Is there any required length for this fabric?,Neutral,2
Worn cloths or unstiched mention any fabric cotton or silk.any specification.,Neutral,2
"Weldone Sapphire , keep it up.",Neutral,2
Do we have to drop the unstitched fabric or worn out cloths??????,Question,4
Every step in this endeavor is worth a million times more.,Positive,0
Good job keep it up,Positive,0
What should be size of fabric?,Question,4
"Wow, so unique. Love the idea!",Positive,0
Wow! I just love Sapphire's move towards recycling ♻️,Positive,0
Hoping other companies would follow! Thumps up!,Neutral,2
Proud of you sapphire !,Positive,0
"GIF may contain Youre Doing A Good Job, Great Job and Text",Neutral,2
Good idea unstitched or stitched lots of bags of both option,Positive,0
You're idea's are always commendable.,Neutral,2
Great work to save the planet!,Positive,0
What a unique idea... good job,Positive,0
Good initiative.... unstitch pieces are required or stitched?,Positive,0
This is such a nice idea💡,Positive,0
hats off.... loved the idea👌,Neutral,2
Thankyou Sapphire.. But it is much better to donate that extra and old clothes to some needy or poor persons....So I think its a bad idea..,Neutral,2
Stitched dress or any kind of unstitched clothplz explain??,Question,4
Hats off to you guys,Neutral,2
Is there any measurement specifications,Positive,0
It is far much better to donate extra clothes to some needy persons rather than getting this 10 % discount.,Neutral,2
is there any specific range of price on which this 10% applies?,Question,4
that's why I love sapphire always innovative... appreciated,Positive,0
Copying H & M.. 😁 😁 😁,Neutral,2
Is that one time offer?,Neutral,2
What an initiative 👏 👌,Positive,0
Wao .feel v.much need like this idea,Positive,0
"Hey, Thankyou for writing your valuable feedback.",Positive,0
Not free with shopping charging 30/bag over shopping of thousands 👎,Neutral,2
"Hi! It's one of our multiple initiatives towards the betterment of sustainability, your nominal contributions can help to create a better environment. Moreover, Investing in a sustainable bag helps reduce waste and protects the environment. Your purchase today will contribute to a better future.",Positive,0
Hi! We're thrilled by your response 🙂,Positive,0
Abdul Qadir i was talking about this effort of Sapphire .,Neutral,2
Nadia Naveed we will contact them for future cooperation,Positive,0
Thank you for your apppreciation.,Positive,0
Any stuff of cloth???what about kids product??,Neutral,2
"Hi! You can donate any type of unwanted, useless, and damaged fabric.",Positive,0
Till when is this in effect?,Neutral,2
"Hi! The offer is valid at retail stores only. Any walk-in who donates 5 pieces of unwanted garments will be given 10% off on purchase (max discount Rs. 500, invoice value Rs. 5,000), not valid on already discounted articles Retail staff will fill the form on the customer’s behalf and the discount code will be sent via email/SMS to the customer. Discount valid till 31st Aug 2021.",Neutral,2
great how can we donate???,Question,4
Hey! You may visit our any outlet to donate the articles.,Positive,0
Hi! We're thrilled by your response 🙂,Positive,0
May we only donate dresses of sapphire or any type of dresses??,Question,4
Hi! You may donate any unwanted clothes by visiting your nearest Sapphire store.,Neutral,2
"Place a box in every city, to collect useless clothes,",Neutral,2
Thank you for your suggestion. You may donate any unwanted clothes by visiting your nearest Sapphire store.,Positive,0
Kya pre loved cloth just sapphire k ho ya koi b brand?,Question,4
Hi! You may donate any unwanted clothes by visiting your nearest Sapphire store.,Neutral,2
if i donate 20 cloths then i got 40% off😁,Neutral,2
Hi! You may get 4 different discount vouchers.,Positive,0
"Hi! The price of this article ""3 PIECE - DIGITAL PRINTED LAWN SUIT"" is Rs.3,790/- for unstitched and Rs.7,990/- for the stitched.",Neutral,2
"Placed an order of worth rs 24000,hope fully ill get the customised canvas bags",Positive,0
"Hi! Shop our Unstitched - Lawn Vol. I collection for Rs. 10,000 or more online and get a free, custom-made canvas bag with your purchase!",Positive,0
"Maryam Arif Butt Hi! This offer is live, please share your order number through the inbox for better assistance.",Positive,0
Maryam Arif Butt Please share your order number or images through the inbox for better assistance.,Positive,0
Hi! Thank you for your feedback. 🙌,Positive,0
just bought 2 dresses worth 10000 yesterday but didn't get any bag.. even you ppl charge seperate charges for bags Rehan Ali Awan hmny to 40 rs bag k b diye 😔,Neutral,2
Hi! Please be informed that we are offering this for online customers only.,Positive,0
"It's one of our multiple initiatives towards the betterment of sustainability, your nominal contributions can help to create a better environment.",Positive,0
Sapphire why dont Sapphire contribute? why they asking contribution from customers?,Question,4
We have noted your feedback and shared it with the relevant department.,Positive,0
Open ur store in wazirabad,Neutral,2
"Hi! We are constantly working to open more and more Sapphire outlets in every customer's convenient area and city. In the meantime, you can visit our e-store https://pk.sapphireonline.pk/ and place the order online! We hope to reach your desired location with an outlet soon!",Positive,0
Unstitched & Pret Women's Clothing,Neutral,2
Unstitched & Pret Women's Clothing,Neutral,2
Unstitched & Pret Women's Clothing,Neutral,2
When u r launching eid collection,Neutral,2
Hi! we are yet to receive an update regarding our upcoming Eid collection. Stay tuned to our social media pages for the latest updates!,Positive,0
Hi! Thank you for your feedback. 🙌,Positive,0
Wasting your money on advertisment and asking your costumer to buy a 40Rs shopping bags,Neutral,2
"Hi! It's one of our multiple initiatives towards the betterment of sustainability, your nominal contributions can help to create a better environment. However, your feedback has been noted and shared with the relevant department.",Positive,0
Please also collaboration with superior university,Positive,0
Universities and schools are producing dancers these days,Positive,0
Hi! Hope you are doing great. Please confirm how may we assist you?,Positive,0
Hi! Thank you for your feedback. We truly appreciate your kind words.,Positive,0
Alhumdullilah Sapphire Team once again❤️,Positive,0
"So poor customer service i purchased one article but it size was small they said me size change hojay ga within a month, i hv visited almost every outlet but ther r not exchanging, ab 2 days bd ayn ab itny days bd ayn, at the time of purchase they showed theirself diffrent but at the tie of exchange they r different and on email they r not responding",Negative,1
When will new sale start I was about to do shopping and sale is ended,Neutral,2
Sapphire team I am shopping from you for the last many years and I was always disappointed from your sale but this time I got all my favourite items Thank you so mauch,Positive,0
Need to Shopping Bag free As sa ap ki hi Advertisement hotti ha,Neutral,2
Thank you sapphire I have purchased two suite from the sale when will be delivere my Dresses,Positive,0
Should extend sale to avoid rush,Neutral,2
store closing time in fsd,Neutral,2
"Salam, I hope you all are doing well. I purchased 2 trousers (west collection) (white & black) from sapphire, Saturday ko mujhe parcel receive hua hai, but mujhe medium size ana tha jb k mere pas small size hai. Unable to upload pics here. If someone wants to buy from me pls let me know.",Positive,0
Online orders bhej rahy heen ya khaerat. No packing boxes with LUXE unstich suits no hangers and packing zipper bags with waistcoat and coats home bed in a bag phaati hoi packing,Negative,1
Thank you sapphire plz let me inform about summer sale. I am your regula customer,Positive,0
Sapphire I received my order today#4520672_1.,Positive,0
Really worried about one dress multi neps shirt back and sleeves fabric is missing and other karandi dress dupatta is defective.,Negative,1
I mailed to wecare.sapphire and attached pics.,Neutral,2
Please we trust you and hope that you will evaluate the matter and will not let me down,Positive,0
Plz next time unstitch should flat 50%,Neutral,2
I ordered 4 dresses but do not receive any message or email from sapphire,Neutral,2
"I could not find many articles like long coats , sweaters etc in sale online . Would it b available in new stalk?",Neutral,2
Next time unstitched should be flat 50,Neutral,2
Sapphire I didn't receive my parcel yet,Neutral,2
Pathetic I placed order and haven't received any mail or msg 😕,Neutral,2
"Sapphire i ordered 2 dresses, in one dress dupatta sent to me is of linen fabric instead of khaddar what is this behavior, and quality of khaddar is so bad",Neutral,2
It was good experience to shop from sphire But people were not doing justice with your products at here in peshawar. The way ladies attacked on unstiched collection was horrible 😫 so next time think for alternate options 🤔,Neutral,2
Last time Sargodha Branch sa Shopping ki to Yahi experience Raha Very bad Management,Positive,0
getting stitch suit changed How will the mouth change? please tell me,Positive,0
I ordered 4 dresses but do not any msg or email from saphire,Neutral,2
I m regular costomer of sapphire dresses are really good but the river of people is insane plz do wise management in sale days and plz inform us about flat 50% sale on unstitch and stitched,Neutral,2
Good sale but price are high even lawn articals,Neutral,2
We can only give clothes of the brand sapphire or also other brands?,Question,4
Good initiative but it hopefully it shouldn't be for your own profit making... distribute the recycled clothes to needy people at minimum price...,Neutral,2
"Great initiative, keep it up",Positive,0
Single piece or complete dress???,Question,4
I went to centaurus branch about 3 weeks back....they said the scheme/promotion has ended,Neutral,2
Very good youmake paper with waste clothes or colorful clothes bag free of cost good idea jisne bhe generate Kia hei,Positive,0
But prices are still high,Neutral,2
You should not charge for the bag!,Positive,0
"Hello! Your purchase plays a vital role in supporting our commitment to sustainability and building a brighter future for all. The slight additional cost associated with the bag is an investment in long-term environmental benefits. We appreciate your suggestion, and we will certainly explore this further. Thank you for your valuable feedback!",Positive,0
Why khaddi needs to promote their logo as its already a famous brand all over ..but this act of khaddi might bring down their name in clothing n home accessories!!✌🏽,Neutral,2
This is great. I am very happy. I literally have to fight with staff at my grocery store as I always bring my own recyclable bags and they want to use their own plastic bags so they can seal them.,Positive,0
Next we will ask gucci and lv to remove their logos from bags and shoes.,Neutral,2
Not sure what's more amusing- the ignorant take or the number of people agreeing to it.,Negative,1
I denied buying these at Imtiaz too 😛,Neutral,2
Next time ask for a suit at khaadi with out the logo/label of khaadi,Neutral,2
As all of khaadi products have label on it with khaadi printed,Neutral,2
If you are paying for a suit at khaadi then why are they branding it?,Neutral,2
If you can't pay then you must bring your bag from home.,Neutral,2
We have always been paying to hyperstar and carrefor and then all the bakeries for their logo branded bags now why not for khadi,Neutral,2
Majority brands are doing same thing.,Neutral,2
"Why people compare Pakistan with other countries! UK mai itny ka bag hy, US mai itny ka!! You can’t compare UK US currency and life style with Pak. Thank you to people saying carry reusable bag.",Positive,0
"Whenever you do to Khaadi for shopping, take a bag of Gul Ahmed or Bonanza or any other brand with you 😄, put Khaadi clothes in it and feel the revenge 😉",Positive,0
But this happens everywhere. Its a customer choice. They can leave it or take it. Simple,Positive,0
"I always try not to be offensive to anyone, but zain sb, you really need to get a life.",Neutral,2
Why shouldnt they sell branded bagS? Unka brand unka bag.,Negative,1
Aap nay bag nahi khareedna na khareedain bhai🤦‍♂️ they are not forcing you.,Positive,0
Buy your kurta and hand carry it,Neutral,2
will u ask them to remove their tags from those hefty cost kurtas u r buying ?,Question,4
Customer ko bags free of cost provide krne chaiye where is customer care ?,Question,4
Absolutely right we are already paying too much for the clothes,Neutral,2
They ask before billing whether you want their bag or not.,Negative,1
"My only concern is, that you are charging for bags which are still paper? Is it recycled material? Why not use cloth bags then and charge for that?",Neutral,2
Yeah same. Like chaseup charge for their brown bag & we've no issue bcz it's simple brown bag with no publicity of them & we can carry it anywhere needed.,Neutral,2
Brands are claiming this is govt policy. Is this so ??,Neutral,2
"I just don’t understand how people have so much time to whine about non issues and the amount of stupid, repentant and useless posts I see here just makes me think how stupid we are as a nation.",Neutral,2
Khaadi bags are their own product which they’re selling. All the brands in world do the same. Tomorrow you’ll say Pepsi shouldn’t advertise their name on their drinks… like seriously?,Neutral,2
"Here in UK, Tesco, Lidl, Asda and Aldi sell bags with their brand name on it. It’s their bags and they’re selling it as a product what’s so different to understand in this?",Neutral,2
I am so going to get my own bags now,Neutral,2
Kaun har dukaan Pé shoppers ka pay kare,Positive,0
And y would I pay 30 rs for a bag in the first place,Neutral,2
No other brands charge 4 bags...,Neutral,2
Whenever go for shopping take a bag with you. Easy solution,Positive,0
"It's a problem if they force you to buy the bag, you always have the option to bring your own bag. This happens literally everywhere in the world",Neutral,2
Agreed... Its better to bring shopper or shopping bag from home.,Neutral,2
Then stop buying the bag get yourself a good bag and always take that with you... If you are so ashamed to carry then you can always pay for the bag,Neutral,2
TaKe yOuR oWn BaG 🤦‍♀️,Neutral,2
"If they have the logo on and are charging for the bag, it's illegal. Everyone's been doing it, be it some grocery store or a clothing brand.",Neutral,2
"100% agree, and Bata shoes doing the same. They charge 10 PKR, and they don't even inform you.",Neutral,2
These red bags were free 7 years back we use to take extra when we shopped at khaadi,Neutral,2
200 rs/ for printed bags,Neutral,2
They are also offering rs. 300 tote bag which you can carry with yourself every-time you go for shopping. And they look beautiful too.,Positive,0
"They hv that much margin to gv atleat a bag to customer as a gift, not 100 wala But a 30 wala,aik bag mai 2 dresses ajaty hain",Positive,0
Those are the times when ppl ask each bag for each dress and they use to give Happily,Positive,0
They're charging for bags so you can take your own bag.,Negative,1
This is too small an issue to be talked about.,Negative,1
"Following the footsteps of the apple brand, I can see the era where back and front of the shirt will be sold differently.",Neutral,2
Agreed to your point. Brands doing marketing and we are paying for it..,Neutral,2
Carry your own bag 🥰,Neutral,2
Don't take their beg simple,Neutral,2
They should give cloth bag,Neutral,2
"I am also sueing Apple company to remove their logo from the phone. I mean, are they stupid or something? Why put their logos on boxes and other accessories?",Neutral,2
Main kal hi California Nikal Rahi Hun Dharney k liye. 😊,Positive,0
now I know that some shamoon sultan owns KHAADI 😬,Positive,0
Charge for the bag.. remove the logo..,Neutral,2
Have not been charged yet,Neutral,2
But i promise i will literally give the bag and keep my dresses in my hands:p just to let them know k bhaai hum manage kr lenge .. tu rakh shopper sara hua apne pass,Neutral,2
Keep a cloth bag with u everytime u go out.,Positive,0
I keep bags in my car for grocery and a sapphire cloth bag in my hand bag for other items.,Neutral,2
Sapphire gives cloth bags free,Neutral,2
The kapra bag is for 200 rupees,Neutral,2
I didn pay for the bag 💰 lol,Neutral,2
"you should raise your voice against all brands like car companies that they should no mention their name as your paying, All things you purchase should not have any brand name as your paying or if they use brand name they should give you free",Positive,0
Take ur own bag frm home,Positive,0
Its better take your own bag,Neutral,2
Don't give them profits by purchasing or stop whining.,Negative,1
Shamoon sultan ko ab hair transplant karwana hy isilye he is charging this much for branded bags,Positive,0
Accurate. Paying for advertising lol,Neutral,2
Start bringing along ur own bags....,Neutral,2
Good post we will Carry out own,Positive,0
I'll carry Imteyaz store bags next time,Neutral,2
Agreed to every bit of this post,Positive,0
Simply carry ur own shopping bag,Positive,0
Another way to green wash.,Neutral,2
I agree with you and others opposing your genuinely raised point are fools,Neutral,2
im just sick of the posts,Neutral,2
Why should I give them publicity,Positive,0
I second you. I hate paying for the bag but would love to spend thousands on the shopping. Similarly we all hate paying for the delivery charges. 😄,Neutral,2
"I call it a bad service/ no customer-brand relationship, if they charge for the bag. Brand is running for years but they don't know what customers like and what don't. Pathetic.",Neutral,2
You ... Literally Are Paying For Their Branded Clothing ... Why Would You Do That ?,Neutral,2
to stop this shoper selling culture.,Negative,1
keep an alternative brand bag in pocket and use that to stop from the alternative brand store.,Neutral,2
these bags dont even cost 10 RS in bulk store can easily adjust it under their profit % age,Neutral,2
Businesses cannot charge for carry bags with their names and logos printed on them; it is better to bring your own bag.,Neutral,2
Chase up is selling plain bags for50 hence Thier bags are worth buying (can hold 25kg plus wieght),Neutral,2
For gods sake..in the uk Asda bags are 10p tesco bags are 10 p and guess what. It's got their logo on it. So what?,Neutral,2
Bata fined Rs 9000 for asking customer to pay Rs 3 for carry bag,Neutral,2
Bata fined Rs 9000 for asking customer to pay Rs 3 for carry bag,Neutral,2
Bata fined Rs 9000 for asking customer to pay Rs 3 for carry bag,Neutral,2
"When we are charged for a Victoria’s Secret bag abroad, there are no complains. Miniso has been charging people for bags since start but khaadi nay kr liya to masla hay. It’s An international brand if you’ve issues, don’t buy from them simple. But this practice isn’t out of the ordinary",Neutral,2
If you don't want logo bag go for simple bag. May be someone would be interested in their logo bags for gift purposes,Positive,0
